Failure_mutation,Failure_spec,1,2,3,4,5,6,7,8,9,10,Total
MUT10,spec2,No,No,Yes,No,Yes,Yes,No,Yes,No,No,4.0
MUT74,spec1,No,No,No,No,No,No,No,No,No,No,0.0
MUT109,spec1,No,No,No,No,No,No,No,No,No,No,0.0
MUT3,spec6,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10.0
MUT6,spec3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10.0
MUT167,spec5,No,No,No,No,No,No,No,No,No,No,0.0
MUT6V,spec2,Yes,Yes,Yes,No,No,No,Yes,No,Yes,Yes,6.0
MUT6V,spec6,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10.0
MUT13V,spec2,Yes,Yes,Yes,No,No,No,No,No,No,No,3.0
MUT16V,spec3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10.0
MUT16V,spec6,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10.0
MUT18V,spec6,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10.0
MUT20V,spec3,No,Yes,No,No,Yes,Yes,No,Yes,Yes,No,5.0
MUT37V,spec6,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10.0
MUT49V,spec2,No,No,No,No,No,No,No,No,No,No,0.0
MUT49V,spec3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10.0
MUT52V,spec2,Yes,No,Yes,No,No,No,No,No,No,Yes,3.0
MUT52V,spec3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10.0
MUT54V,spec3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10.0
MUT65V,spec3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10.0
MUT67V,spec2,No,No,Yes,No,No,No,No,No,No,No,1.0
MUT68V,spec4,Yes,Yes,No,Yes,No,No,Yes,Yes,No,No,5.0
MUT68V,spec5,No,No,No,No,No,No,No,Yes,No,No,1.0
MUT76V,spec6,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10.0
MUT81V,spec6,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10.0
MUT88V,spec2,No,Yes,Yes,Yes,Yes,No,No,No,No,Yes,5.0
MUT93V,spec5,No,No,No,No,No,No,No,No,No,No,0.0
MUT101V,spec2,No,Yes,No,No,No,Yes,No,Yes,Yes,Yes,5.0
MUT138V,spec2,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No,6.0
MUT140V,spec5,No,No,No,No,No,No,No,No,No,No,0.0
MUT164V,spec3,No,No,No,No,No,No,No,No,No,No,0.0
MUT360V,spec2,No,No,No,No,No,No,No,No,No,No,0.0
MUT397V,spec3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10.0
MUT517V,spec2,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,7.0
MUT519V,spec2,Yes,Yes,No,No,No,Yes,No,Yes,No,No,4.0
MUT528V,spec2,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,8.0
MUT540V,spec2,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,5.0
MUT543V,spec2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,8.0
MUT544V,spec2,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,7.0
MUT615V,spec6,No,No,No,No,No,No,No,No,No,No,0.0
MUT760V,spec1,No,No,No,No,No,No,No,No,No,No,0.0
MUT777V,spec2,No,No,No,No,No,No,No,No,No,No,0.0
MUT858V,spec2,No,No,No,No,No,No,No,No,No,No,0.0
MUT873V,spec2,No,No,No,No,No,No,No,No,No,No,0.0
MUT873V,spec3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10.0
MUT956V,spec1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10.0
MUT1000V,spec5,No,No,No,No,No,No,No,No,No,No,0.0
MUT1013V,spec3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10.0
MUT1013V,spec6,No,No,No,No,No,No,No,No,No,No,0.0
MUT1084V,spec5,No,No,No,No,No,No,No,No,No,No,0.0